order_month,payment_type,payment_value
2016-09,credit_card,252.24
2016-10,boleto,9679.06
2016-10,credit_card,48290.62
2016-10,debit_card,241.73
2016-10,voucher,879.07
2016-12,credit_card,19.62
2017-01,boleto,24074.43
2017-01,credit_card,109615.68
2017-01,debit_card,743.53
2017-01,voucher,4054.4
2017-02,boleto,57476.74
2017-02,credit_card,226753.56
2017-02,debit_card,1510.32
2017-02,voucher,6167.39
2017-03,boleto,82160.53
2017-03,credit_card,354488.94
2017-03,debit_card,3592.8
2017-03,voucher,9621.33
2017-04,boleto,81307.24
2017-04,credit_card,322087.72
2017-04,debit_card,2790.0
2017-04,voucher,11603.07
2017-05,boleto,128652.9
2017-05,credit_card,445047.31
2017-05,debit_card,3023.41
2017-05,voucher,16195.2
2017-06,boleto,107774.16
2017-06,credit_card,388320.11
2017-06,debit_card,2424.17
2017-06,voucher,12809.78
2017-07,boleto,116775.48
2017-07,credit_card,455172.07
2017-07,debit_card,2345.03
2017-07,voucher,18435.36
2017-08,boleto,134289.81
2017-08,credit_card,521493.03
2017-08,debit_card,3136.84
2017-08,voucher,15373.98
2017-09,boleto,131042.24
2017-09,credit_card,574484.15
2017-09,debit_card,4690.36
2017-09,voucher,17545.7
2017-10,boleto,140633.45
2017-10,credit_card,614327.89
2017-10,debit_card,5776.57
2017-10,voucher,18939.97
2017-11,boleto,226292.34
2017-11,credit_card,942856.67
2017-11,debit_card,6168.1
2017-11,voucher,19565.69
2017-12,boleto,165584.05
2017-12,credit_card,682859.59
2017-12,debit_card,7125.34
2017-12,voucher,22832.5
2018-01,boleto,204844.66
2018-01,credit_card,868880.38
2018-01,debit_card,11543.55
2018-01,voucher,29735.59
2018-02,boleto,183112.72
2018-02,credit_card,778803.0
2018-02,debit_card,7469.53
2018-02,voucher,23078.09
2018-03,boleto,191538.02
2018-03,credit_card,933861.78
2018-03,debit_card,8375.11
2018-03,voucher,25968.89
2018-04,boleto,193547.09
2018-04,credit_card,934306.0
2018-04,debit_card,10782.53
2018-04,voucher,22149.86
2018-05,boleto,195378.93
2018-05,credit_card,927427.9
2018-05,debit_card,9710.74
2018-05,voucher,21336.13
2018-06,boleto,153350.28
2018-06,credit_card,811508.56
2018-06,debit_card,35672.62
2018-06,voucher,23349.04
2018-07,boleto,198041.24
2018-07,credit_card,803674.49
2018-07,debit_card,44866.18
2018-07,voucher,19958.84
2018-08,boleto,143805.9
2018-08,credit_card,797648.89
2018-08,debit_card,46001.33
2018-08,voucher,34969.2
2018-09,voucher,4439.54
2018-10,voucher,589.6700000000001
